asset_id,license_pass,style_pass,scale_pass,material_pass,texture_pass,collision_pass,lod_pass,godot_import_pass,android_pass,approved,rejection_reason
bh_villa_wall_solid_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_villa_wall_window_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_villa_wall_door_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_villa_corner_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_villa_balcony_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_villa_roof_edge_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_villa_parapet_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_villa_gate_pedestrian_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_villa_gate_vehicle_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_villa_boundary_wall_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_villa_column_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_villa_canopy_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_villa_stair_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_villa_garage_opening_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_villa_ac_unit_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_villa_water_tank_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_villa_satellite_dish_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_villa_driveway_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_traditional_party_wall_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_traditional_timber_door_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_traditional_projecting_window_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_traditional_alley_arch_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_traditional_parapet_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_traditional_courtyard_hint_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_traditional_shop_bay_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_traditional_shade_canopy_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_traditional_roof_tank_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
